host_identity_verified,instant_bookable,construction_year,price,minimum_nights,number_of_reviews,reviews_per_month,review_rate_number,availability_365,cancellation_policy_moderate,cancellation_policy_strict,room_type_Hotel room,room_type_Private room,room_type_Shared room,last_review_year,last_review_month,days_since_last_review,property_age,neighbourhood_freq
1,1,2008.0,606.0,5.0,53.0,0.43,4.0,163.0,False,False,False,False,False,2019,6,2194,17.0,1323
1,1,2020.0,370.0,3.0,15.0,0.39,2.0,33.0,False,False,False,False,False,2019,5,2220,5.0,260
0,0,2017.0,856.0,4.0,81.0,0.69,3.0,86.0,False,True,False,True,False,2019,6,2200,8.0,1323
0,1,2014.0,761.0,2.0,19.0,0.2,4.0,203.0,False,False,False,True,False,2019,6,2214,11.0,452
1,1,2015.0,1109.0,2.0,9.0,0.08,4.0,113.0,True,False,False,True,False,2018,10,2454,10.0,520
1,1,2004.0,659.0,1.0,9.0,0.08,4.0,260.0,False,True,False,True,False,2021,9,1375,21.0,3087
1,1,2013.0,946.0,3.0,63.0,0.58,1.0,58.0,True,False,False,True,False,2019,5,2233,12.0,3541
1,0,2006.0,329.0,5.0,73.0,0.66,4.0,13.0,False,True,False,False,False,2019,6,2191,19.0,1382
0,0,2013.0,1099.0,3.0,32.0,0.29,5.0,62.0,True,False,False,False,False,2019,6,2202,12.0,911
0,1,2020.0,96.0,2.0,2.0,0.02,4.0,334.0,True,False,False,True,False,2019,1,2366,5.0,148
0,1,2014.0,162.0,8.0,27.0,1.05,4.0,18.0,False,True,False,True,False,2019,6,2187,11.0,400
1,0,2009.0,944.0,4.0,79.0,0.74,3.0,130.0,True,False,False,True,False,2019,6,2194,16.0,577
0,0,2005.0,444.0,3.0,37.0,0.35,1.0,341.0,False,True,False,True,False,2018,12,2367,20.0,400
0,1,2017.0,518.0,2.0,69.0,0.65,2.0,213.0,False,True,False,False,False,2019,6,2203,8.0,811
1,0,2021.0,84.0,2.0,21.0,0.26,1.0,66.0,False,True,False,True,False,2019,5,2230,4.0,128
0,0,2018.0,241.0,7.0,17.0,0.3,4.0,322.0,True,False,False,True,False,2019,5,2239,7.0,53
1,0,2017.0,54.0,3.0,41.0,0.39,3.0,322.0,False,True,False,False,False,2019,1,2365,8.0,911
0,1,2018.0,509.0,2.0,69.0,0.67,5.0,146.0,False,False,False,False,False,2019,5,2228,7.0,811
1,1,2014.0,228.0,4.0,94.0,0.99,1.0,9.0,False,True,False,False,False,2019,6,2193,11.0,323
0,1,2011.0,874.0,5.0,10.0,0.1,4.0,256.0,True,False,False,False,False,2019,5,2236,14.0,250
0,1,2015.0,368.0,5.0,64.0,0.67,5.0,300.0,False,True,False,True,False,2019,1,2362,10.0,3541
0,0,2012.0,850.0,7.0,5.0,0.15,4.0,33.0,True,False,False,False,False,2019,1,2364,13.0,1382
0,1,2019.0,901.0,5.0,47.0,0.49,3.0,68.0,False,True,False,True,False,2019,6,2187,6.0,2017
0,0,2008.0,783.0,3.0,52.0,0.63,4.0,135.0,False,True,False,True,False,2019,1,2357,17.0,1382
1,1,2009.0,69.0,2.0,48.0,0.48,4.0,86.0,False,True,False,False,False,2019,6,2200,16.0,1382
0,1,2003.0,784.0,1.0,50.0,0.5,4.0,47.0,True,False,False,False,False,2014,5,4060,22.0,811
1,0,2004.0,1029.0,3.0,29.0,0.36,1.0,87.0,False,False,False,True,False,2019,6,2200,21.0,811
1,0,2015.0,291.0,4.0,59.0,0.6,3.0,52.0,False,True,False,False,False,2019,6,2193,10.0,3087
1,0,2005.0,787.0,1.0,68.0,0.67,3.0,189.0,False,False,False,False,False,2019,6,2209,20.0,3087
1,1,2018.0,920.0,2.0,1.0,0.01,3.0,73.0,False,False,False,True,False,2026,3,-277,7.0,811
1,1,2004.0,1074.0,3.0,36.0,0.36,1.0,272.0,False,True,False,True,False,2019,7,2185,21.0,811
1,1,2013.0,162.0,4.0,6.0,0.1,5.0,247.0,True,False,False,False,False,2016,2,3427,12.0,142
0,0,2006.0,575.0,7.0,98.0,0.99,3.0,141.0,False,False,False,False,False,2019,6,2188,19.0,208
0,0,2004.0,68.0,3.0,9.0,0.09,4.0,270.0,False,False,False,True,False,2018,5,2593,21.0,811
1,0,2016.0,1170.0,2.0,86.0,0.87,2.0,35.0,False,False,False,False,False,2019,6,2200,9.0,3541
1,1,2014.0,369.0,5.0,49.0,0.56,2.0,203.0,False,True,False,False,False,2019,6,2197,11.0,1323
1,0,2005.0,947.0,1.0,1.0,0.02,1.0,53.0,False,True,False,True,False,2016,1,3461,20.0,2418
0,0,2021.0,857.0,2.0,56.0,0.57,3.0,252.0,False,False,False,False,False,2018,12,2370,4.0,1205
1,0,2008.0,696.0,1.0,52.0,0.6,5.0,338.0,False,True,False,False,False,2019,6,2208,17.0,911
0,0,2014.0,1188.0,6.0,39.0,0.4,4.0,238.0,False,False,False,False,False,2018,9,2465,11.0,1337
1,1,2007.0,409.0,2.0,35.0,0.36,3.0,11.0,True,False,False,True,False,2019,1,2364,18.0,847
1,0,2008.0,788.0,4.0,50.0,0.51,3.0,235.0,True,False,False,False,False,2019,7,2184,17.0,3087
1,1,2010.0,586.0,2.0,29.0,0.31,1.0,318.0,False,False,False,False,False,2019,6,2193,15.0,3087
0,1,2017.0,608.0,2.0,23.0,0.23,2.0,280.0,False,True,False,False,False,2016,5,3340,8.0,379
1,1,2010.0,154.0,2.0,70.0,0.73,4.0,256.0,False,True,False,False,False,2019,7,2185,15.0,1382
1,1,2008.0,132.0,2.0,38.0,0.54,3.0,107.0,False,True,False,True,False,2019,6,2213,17.0,3541
0,1,2018.0,1155.0,1.0,3.0,0.03,2.0,117.0,True,False,False,True,False,2014,11,3883,7.0,1323
0,1,2009.0,589.0,4.0,22.0,0.23,5.0,84.0,False,True,False,False,False,2014,11,3879,16.0,1382
0,0,2018.0,725.0,8.0,17.0,0.17,3.0,291.0,False,True,False,False,False,2019,5,2229,7.0,2418
0,0,2019.0,935.0,4.0,19.0,0.2,5.0,327.0,False,True,False,False,False,2019,7,2180,6.0,911
0,0,2012.0,256.0,2.0,8.0,0.09,3.0,331.0,True,False,False,True,False,2018,12,2387,13.0,3087
1,0,2007.0,1196.0,7.0,25.0,0.3,5.0,283.0,False,False,False,True,False,2019,2,2324,18.0,1382
0,1,2006.0,693.0,3.0,38.0,0.42,4.0,145.0,False,False,False,True,False,2018,5,2604,19.0,2418
1,0,2017.0,718.0,3.0,43.0,0.44,2.0,130.0,True,False,False,True,False,2019,5,2227,8.0,452
1,1,2015.0,120.0,5.0,4.0,0.05,3.0,106.0,False,True,False,False,False,2015,3,3756,10.0,811
1,1,2017.0,857.0,1.0,39.0,0.41,5.0,193.0,True,False,False,True,False,2019,6,2192,8.0,3541
0,0,2004.0,839.0,2.0,37.0,1.79,2.0,362.0,False,False,False,True,False,2019,7,2183,21.0,847
1,1,2021.0,1126.0,3.0,10.0,0.12,5.0,100.0,False,False,False,False,False,2019,1,2366,4.0,1323
1,0,2018.0,225.0,6.0,3.0,0.03,5.0,231.0,False,False,False,True,False,2014,8,3950,7.0,3087
1,0,2006.0,1046.0,2.0,11.0,0.12,4.0,191.0,True,False,False,False,False,2016,1,3461,19.0,1026
1,0,2016.0,435.0,3.0,3.0,0.04,4.0,9.0,False,False,False,True,False,2016,2,3417,9.0,911
0,1,2011.0,314.0,2.0,11.0,0.46,2.0,187.0,False,True,False,False,False,2018,10,2431,14.0,2017
1,0,2009.0,638.0,3.0,31.0,0.32,1.0,70.0,True,False,False,False,False,2018,10,2436,16.0,1470
1,0,2014.0,1051.0,4.0,49.0,0.51,1.0,268.0,True,False,False,True,False,2019,5,2240,11.0,1382
0,0,2015.0,164.0,4.0,23.0,0.24,3.0,209.0,False,False,False,False,False,2019,4,2264,10.0,3087
1,1,2020.0,586.0,2.0,20.0,0.21,5.0,247.0,False,True,False,False,False,2019,6,2192,5.0,811
0,1,2005.0,546.0,4.0,80.0,1.55,3.0,88.0,False,False,False,True,False,2019,7,2180,20.0,3087
1,0,2010.0,923.0,4.0,90.0,0.94,3.0,45.0,False,False,False,False,False,2019,6,2186,15.0,1470
0,1,2013.0,972.0,3.0,33.0,0.35,1.0,214.0,False,True,False,False,False,2019,5,2239,12.0,259
1,0,2010.0,152.0,3.0,81.0,0.85,4.0,171.0,False,False,False,True,False,2019,3,2280,15.0,1382
1,0,2020.0,836.0,6.0,23.0,0.27,1.0,129.0,False,False,False,False,False,2018,5,2591,5.0,847
0,0,2007.0,181.0,6.0,35.0,0.37,4.0,210.0,False,True,False,True,False,2017,6,2928,18.0,1323
1,1,2016.0,67.0,1.0,72.0,0.84,2.0,292.0,True,False,False,True,False,2019,6,2199,9.0,520
1,0,2003.0,253.0,1.0,46.0,0.97,5.0,30.0,True,False,False,True,False,2018,12,2368,22.0,3087
1,0,2005.0,783.0,3.0,50.0,0.65,3.0,95.0,True,False,False,True,False,2019,3,2278,20.0,2418
1,0,2021.0,500.0,2.0,55.0,0.59,1.0,85.0,False,True,False,True,False,2019,4,2247,4.0,2017
1,0,2021.0,1114.0,4.0,87.0,0.99,4.0,75.0,False,True,False,False,False,2019,7,2183,4.0,3087
1,0,2016.0,353.0,2.0,4.0,0.18,4.0,240.0,True,False,False,False,False,2018,8,2493,9.0,400
1,0,2022.0,357.0,3.0,14.0,0.15,5.0,138.0,False,False,False,False,False,2015,8,3585,3.0,3087
1,0,2022.0,473.0,7.0,9.0,0.1,2.0,264.0,True,False,False,False,False,2016,6,3288,3.0,208
0,1,2012.0,629.0,2.0,2.0,0.05,1.0,91.0,False,False,False,True,False,2018,2,2693,13.0,5
1,1,2010.0,145.0,7.0,19.0,0.35,5.0,231.0,False,False,False,True,False,2019,6,2213,15.0,2418
1,1,2009.0,396.0,4.0,18.0,0.21,4.0,325.0,True,False,False,False,False,2018,7,2546,16.0,142
0,1,2012.0,244.0,7.0,63.0,1.87,1.0,162.0,False,False,False,False,False,2019,6,2190,13.0,3541
1,1,2017.0,697.0,2.0,52.0,0.55,1.0,122.0,False,True,False,True,False,2018,8,2506,8.0,1535
0,0,2017.0,1159.0,2.0,35.0,0.4,4.0,7.0,False,True,False,False,False,2019,6,2207,8.0,3541
0,1,2015.0,578.0,2.0,61.0,0.65,3.0,233.0,False,True,False,True,False,2019,5,2229,10.0,1337
0,1,2009.0,1025.0,5.0,89.0,0.94,1.0,336.0,False,False,False,False,False,2019,6,2186,16.0,2418
0,0,2003.0,1067.0,1.0,40.0,0.44,3.0,69.0,False,True,False,False,False,2019,6,2200,22.0,260
0,0,2021.0,188.0,7.0,2.0,0.03,2.0,239.0,True,False,False,False,False,2014,10,3914,4.0,348
1,1,2022.0,59.0,1.0,43.0,0.46,5.0,338.0,True,False,False,True,False,2019,4,2263,3.0,452
1,1,2008.0,461.0,6.0,8.0,0.33,3.0,321.0,True,False,False,False,False,2019,1,2364,17.0,3541
1,1,2004.0,1019.0,2.0,37.0,0.39,1.0,302.0,False,False,False,False,False,2019,1,2365,21.0,577
0,0,2017.0,1156.0,1.0,24.0,0.29,5.0,187.0,True,False,False,False,False,2019,1,2366,8.0,3087
0,0,2005.0,429.0,5.0,34.0,0.39,1.0,297.0,False,True,False,False,False,2019,7,2185,20.0,847
0,0,2003.0,1154.0,3.0,5.0,0.05,1.0,32.0,True,False,False,True,False,2016,10,3187,22.0,1470
0,1,2021.0,629.0,1.0,5.0,0.06,4.0,211.0,True,False,False,False,False,2015,8,3599,4.0,268
0,0,2010.0,538.0,1.0,49.0,0.58,2.0,88.0,True,False,False,False,False,2014,12,3856,15.0,348
1,0,2008.0,1029.0,1.0,11.0,0.12,1.0,67.0,False,True,False,True,False,2017,9,2829,17.0,2418
0,1,2009.0,1113.0,3.0,33.0,0.47,3.0,233.0,False,False,False,False,False,2019,6,2192,16.0,811
1,0,2009.0,685.0,3.0,59.0,0.66,2.0,109.0,False,True,False,False,False,2019,6,2192,16.0,811
0,0,2011.0,637.0,1.0,2.0,0.04,1.0,189.0,False,True,False,True,False,2015,6,3652,14.0,102
0,0,2013.0,678.0,2.0,16.0,0.23,2.0,250.0,False,True,False,False,False,2019,6,2188,12.0,1323
0,1,2008.0,878.0,2.0,72.0,0.77,3.0,203.0,False,False,False,True,False,2018,11,2402,17.0,2418
0,1,2015.0,738.0,4.0,20.0,0.23,3.0,140.0,False,True,False,True,False,2015,12,3464,10.0,147
0,0,2013.0,845.0,2.0,8.0,0.09,1.0,297.0,True,False,False,False,False,2019,5,2228,12.0,43
0,1,2010.0,937.0,7.0,4.0,0.05,1.0,167.0,False,True,False,False,False,2017,8,2857,15.0,400
0,0,2003.0,563.0,3.0,18.0,0.25,3.0,178.0,False,False,False,False,False,2019,6,2198,22.0,3541
0,1,2015.0,483.0,7.0,51.0,0.55,3.0,35.0,False,True,False,True,False,2019,6,2214,10.0,693
0,1,2012.0,313.0,5.0,20.0,0.33,4.0,14.0,True,False,False,True,False,2017,4,3006,13.0,847
1,0,2004.0,878.0,7.0,8.0,0.12,5.0,132.0,True,False,False,False,False,2017,12,2733,21.0,577
1,0,2016.0,1165.0,5.0,10.0,0.46,4.0,355.0,False,True,False,True,False,2018,12,2367,9.0,911
0,0,2016.0,1014.0,2.0,69.0,0.91,4.0,9.0,True,False,False,True,False,2019,1,2366,9.0,1382
0,1,2016.0,494.0,1.0,1.0,0.18,3.0,336.0,False,True,False,False,False,2019,1,2340,9.0,2418
0,1,2005.0,907.0,7.0,11.0,0.12,5.0,302.0,True,False,False,False,False,2015,11,3523,20.0,1205
1,1,2008.0,158.0,5.0,5.0,0.09,5.0,73.0,True,False,False,False,False,2018,7,2546,17.0,222
1,0,2019.0,673.0,4.0,68.0,0.77,5.0,175.0,False,False,False,False,False,2019,6,2213,6.0,911
0,1,2006.0,896.0,1.0,38.0,0.85,3.0,83.0,False,False,False,True,False,2019,7,2185,19.0,135
1,0,2010.0,756.0,2.0,15.0,0.17,3.0,64.0,False,False,False,True,False,2019,6,2207,15.0,96
1,1,2003.0,422.0,2.0,20.0,0.42,3.0,181.0,False,False,False,True,False,2019,1,2346,22.0,152
0,1,2019.0,586.0,3.0,25.0,0.96,5.0,246.0,False,True,False,True,False,2019,6,2201,6.0,1026
0,0,2020.0,666.0,2.0,35.0,0.42,3.0,261.0,False,True,False,False,False,2019,5,2220,5.0,2418
1,1,2020.0,175.0,3.0,64.0,0.7,4.0,92.0,False,True,False,False,False,2019,6,2214,5.0,847
0,1,2019.0,72.0,3.0,26.0,0.33,2.0,66.0,False,False,False,True,False,2019,2,2320,6.0,1470
1,0,2009.0,65.0,1.0,30.0,0.33,4.0,339.0,False,True,False,True,False,2019,6,2188,16.0,3087
0,0,2003.0,440.0,5.0,9.0,0.19,1.0,28.0,True,False,False,True,False,2019,6,2191,22.0,3541
0,1,2012.0,627.0,5.0,45.0,0.52,2.0,105.0,False,False,False,True,False,2019,5,2221,13.0,3541
1,1,2011.0,57.0,3.0,5.0,0.08,4.0,309.0,True,False,False,False,False,2018,12,2367,14.0,1205
0,1,2019.0,516.0,3.0,49.0,0.53,4.0,232.0,True,False,False,False,False,2018,10,2432,6.0,1382
1,1,2009.0,1161.0,5.0,7.0,0.08,5.0,133.0,True,False,False,False,False,2017,6,2928,16.0,400
0,1,2018.0,456.0,2.0,35.0,0.38,3.0,17.0,True,False,False,True,False,2019,6,2186,7.0,3087
0,1,2013.0,125.0,5.0,28.0,0.31,4.0,287.0,False,False,False,False,False,2018,9,2464,12.0,577
1,0,2011.0,80.0,5.0,6.0,0.13,4.0,230.0,True,False,False,False,False,2019,6,2192,14.0,452
1,1,2014.0,1122.0,3.0,89.0,0.97,1.0,106.0,True,False,False,False,False,2019,6,2193,11.0,259
0,1,2016.0,213.0,7.0,15.0,0.25,1.0,3.0,True,False,False,True,False,2019,6,2208,9.0,811
1,0,2005.0,1003.0,6.0,58.0,0.63,3.0,296.0,True,False,False,False,False,2017,12,2734,20.0,520
1,1,2012.0,911.0,5.0,3.0,0.03,1.0,316.0,False,True,False,True,False,2017,6,2926,13.0,836
1,1,2006.0,911.0,3.0,63.0,0.72,2.0,283.0,False,True,False,False,False,2019,6,2198,19.0,3541
1,1,2017.0,701.0,3.0,29.0,1.57,5.0,180.0,False,False,False,True,False,2019,6,2191,8.0,3541
1,1,2007.0,279.0,6.0,69.0,0.76,3.0,168.0,True,False,False,False,False,2019,6,2195,18.0,208
0,1,2004.0,831.0,3.0,10.0,0.23,1.0,280.0,True,False,False,False,False,2019,4,2256,21.0,1535
0,1,2021.0,214.0,4.0,36.0,0.47,2.0,83.0,False,False,False,True,False,2018,11,2416,4.0,260
0,0,2021.0,1081.0,1.0,63.0,0.71,5.0,278.0,True,False,False,False,False,2018,8,2517,4.0,847
1,1,2016.0,993.0,2.0,72.0,0.82,4.0,125.0,False,True,False,False,False,2018,7,2520,9.0,1535
0,0,2021.0,656.0,2.0,40.0,0.68,3.0,57.0,False,False,False,False,False,2019,6,2193,4.0,3541
0,1,2016.0,512.0,6.0,66.0,0.72,2.0,266.0,True,False,False,False,False,2019,5,2246,9.0,3087
0,0,2014.0,97.0,3.0,35.0,0.4,1.0,226.0,False,False,False,False,False,2019,6,2189,11.0,400
0,0,2017.0,279.0,8.0,15.0,0.19,4.0,30.0,False,True,False,False,False,2018,8,2491,8.0,1382
1,0,2007.0,554.0,2.0,13.0,0.18,1.0,36.0,False,True,False,False,False,2016,9,3214,18.0,234
0,1,2018.0,108.0,5.0,8.0,0.11,3.0,69.0,False,True,False,False,False,2016,11,3132,7.0,323
0,0,2011.0,1127.0,2.0,5.0,0.06,2.0,146.0,True,False,False,True,False,2014,9,3941,14.0,519
0,1,2014.0,973.0,4.0,46.0,0.52,2.0,139.0,False,False,False,False,False,2019,6,2193,11.0,811
0,0,2017.0,200.0,7.0,14.0,0.16,4.0,173.0,False,True,False,False,False,2019,6,2191,8.0,1323
0,0,2004.0,777.0,5.0,37.0,0.45,1.0,354.0,True,False,False,False,False,2018,4,2627,21.0,1470
0,1,2012.0,290.0,5.0,1.0,0.03,1.0,324.0,False,True,False,False,False,2016,8,3220,13.0,836
0,0,2006.0,348.0,3.0,4.0,0.07,4.0,338.0,True,False,False,False,False,2018,9,2477,19.0,1535
1,1,2016.0,237.0,3.0,43.0,0.49,1.0,225.0,False,False,False,False,False,2019,6,2194,9.0,811
0,0,2013.0,241.0,3.0,7.0,0.08,2.0,205.0,False,True,False,False,False,2017,4,2989,12.0,836
0,1,2010.0,626.0,1.0,88.0,0.99,3.0,321.0,False,True,False,False,False,2019,6,2209,15.0,1323
1,0,2009.0,413.0,3.0,73.0,0.84,3.0,324.0,False,True,False,False,False,2019,6,2186,16.0,811
0,1,2006.0,511.0,3.0,89.0,1.06,4.0,180.0,False,False,False,False,False,2019,7,2185,19.0,811
0,0,2009.0,285.0,3.0,11.0,0.16,5.0,169.0,False,False,False,False,False,2019,6,2193,16.0,3087
1,1,2015.0,921.0,3.0,17.0,0.19,1.0,281.0,True,False,False,True,False,2015,5,3688,10.0,3087
0,0,2004.0,130.0,1.0,73.0,0.89,5.0,325.0,False,False,False,False,False,2019,6,2197,21.0,3087
0,0,2021.0,1128.0,3.0,36.0,0.47,4.0,122.0,False,False,False,False,False,2019,5,2246,4.0,1323
0,1,2011.0,459.0,2.0,98.0,1.07,5.0,210.0,True,False,False,True,False,2019,5,2216,14.0,3087
1,1,2015.0,802.0,5.0,2.0,0.09,4.0,69.0,True,False,False,True,False,2017,9,2833,10.0,1470
0,1,2017.0,314.0,5.0,18.0,0.2,1.0,244.0,True,False,False,True,False,2018,10,2449,8.0,3541
1,1,2021.0,375.0,3.0,24.0,0.28,5.0,112.0,False,True,False,True,False,2013,12,4220,4.0,3087
0,1,2010.0,572.0,3.0,1.0,0.07,5.0,39.0,False,False,False,True,False,2018,5,2599,15.0,400
0,1,2021.0,894.0,1.0,2.0,0.05,2.0,95.0,False,False,False,True,False,2018,1,2730,4.0,3087
1,0,2007.0,495.0,2.0,93.0,1.12,3.0,131.0,False,False,False,True,False,2019,7,2179,18.0,3541
1,0,2011.0,1055.0,3.0,14.0,0.22,1.0,239.0,False,False,False,True,False,2015,8,3597,14.0,1323
0,1,2014.0,1174.0,1.0,50.0,0.56,3.0,118.0,True,False,False,True,False,2019,6,2213,11.0,26
1,1,2006.0,131.0,3.0,33.0,0.39,1.0,129.0,True,False,False,True,False,2019,6,2206,19.0,2418
